2023,APR,STATE,4,5,TOTAL,"428,000,000"
2023,APR,STATE,6,5,TOTAL,"3,543,000,000"
2023,APR,STATE,8,5,TOTAL,"444,000,000"
2023,APR,STATE,12,5,TOTAL,"166,000,000"
2023,APR,STATE,13,5,TOTAL,"180,000,000"
2023,APR,STATE,16,5,TOTAL,"1,408,000,000"
2023,APR,STATE,17,5,TOTAL,"147,000,000"
2023,APR,STATE,18,5,TOTAL,"380,000,000"
2023,APR,STATE,19,5,TOTAL,"494,000,000"
2023,APR,STATE,20,5,TOTAL,"360,000,000"
2023,APR,STATE,26,5,TOTAL,"1,003,000,000"
2023,APR,STATE,27,5,TOTAL,"883,000,000"
2023,APR,STATE,35,5,TOTAL,"602,000,000"
2023,APR,STATE,36,5,TOTAL,"1,342,000,000"
2023,APR,STATE,39,5,TOTAL,"473,000,000"
2023,APR,STATE,41,5,TOTAL,"221,000,000"
2023,APR,STATE,42,5,TOTAL,"855,000,000"
2023,APR,STATE,46,5,TOTAL,"358,000,000"
2023,APR,STATE,48,5,TOTAL,"1,413,000,000"
2023,APR,STATE,49,5,TOTAL,"178,000,000"
2023,APR,STATE,50,5,TOTAL,"215,000,000"
2023,APR,STATE,51,5,TOTAL,"121,000,000"
2023,APR,STATE,53,5,TOTAL,"531,000,000"
2023,APR,STATE,55,5,TOTAL,"2,656,000,000"
2023,FEB,STATE,4,5,TOTAL,"388,000,000"
2023,FEB,STATE,6,5,TOTAL,"3,274,000,000"
2023,FEB,STATE,8,5,TOTAL,"401,000,000"
2023,FEB,STATE,12,5,TOTAL,"156,000,000"
2023,FEB,STATE,13,5,TOTAL,"169,000,000"
2023,FEB,STATE,16,5,TOTAL,"1,293,000,000"
2023,FEB,STATE,17,5,TOTAL,"135,000,000"
2023,FEB,STATE,18,5,TOTAL,"349,000,000"
2023,FEB,STATE,19,5,TOTAL,"460,000,000"
2023,FEB,STATE,20,5,TOTAL,"329,000,000"
2023,FEB,STATE,26,5,TOTAL,"929,000,000"
2023,FEB,STATE,27,5,TOTAL,"817,000,000"
